0	1	0	0	0	0
1	3	0	0	0	0
2	9	0	0	0	0
3	27	0	0	0	0
4	81	0	0	0	0
5	243	0	0	0	0
6	729	0	0	0	0
7	2187	0	1	0	1
8	6561	0	4	0	16
9	19683	2	13	1	138
10	29683	3	21	2	334
11	39683	5	31	3	615
12	49683	7	41	5	948
13	59683	8	65	7	1340
14	69683	9	47	6	1807
15	79683	11	56	6	2287
16	89683	12	62	8	2861
17	99683	15	70	9
18	109683	16	84	9
19	119683	17	92	10
20	129683	21	95	12
21	139683	27	101	13
22	149683	22	114	16
23	159683	28	111	16
24	169683	26	132	16
25	179683	34	131	16
26	189683	29	133	16
27	199683	32	142	19
28	209683	33	151	18
29	259683	44	190	24
30	309683	55	221	27
31	359683	69	260	32
32	409683	80	300	44
33	459683	97	350	45
34	509683	107	375	45
35	559683	130	424	53
36	609683	140	458	56
37	659683	161	510	71
38	709683	176	524	64
39	759683	189	546	68
40	809683	209	592	73
41	1309683	437	964	127
42	1809683	752	1350	162
43	2309683	1120	1739	243
44	2809683	1742	2214	275
45	3309683	2182	2492	304
46	3809683	2766	2928	365
47	4309683	3399	3283	423
48	4809683	4171	3657	458
